bundle_basket,completeness_status,gross_edge,known_total_candidates,net_edge_after_costs,observed_candidates,rejection_reason,signal_ts_ms,space_attribution_status,space_id,sum_yes_prices
none,unknown,0.0285,,-0.1915,44,net_edge_below_threshold,1773939630000,bundle_space,2028_democrats_presidential_nomination,0.9715
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773968430000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773972030000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773975630000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773979230000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773982830000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.022,,-0.198,44,net_edge_below_threshold,1773986430000,bundle_space,2028_democrats_presidential_nomination,0.978
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1774011630000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1774015230000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1774018830000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1774022430000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1774026030000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0115,,-0.2085,44,net_edge_below_threshold,1774054830000,bundle_space,2028_democrats_presidential_nomination,0.9885
none,unknown,0.0115,,-0.2085,44,net_edge_below_threshold,1774058430000,bundle_space,2028_democrats_presidential_nomination,0.9885
none,unknown,0.0115,,-0.2085,44,net_edge_below_threshold,1774062030000,bundle_space,2028_democrats_presidential_nomination,0.9885
none,unknown,0.0115,,-0.2085,44,net_edge_below_threshold,1774065630000,bundle_space,2028_democrats_presidential_nomination,0.9885
