accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.7,0.0,True,77c7128b5423,False,2,first_violation_only,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.7,0.0,True,ab27355e4c0e,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.35,0.0,True,6d0d7bad3ebd,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.7,0.01,True,2ebced71aba5,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.7,0.01,True,4339babf4ed1,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.0,True,a590862284dc,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.7,0.01,True,11aa353df4e1,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.35,0.0,True,268b84c9b5f7,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.7,0.0,True,044dbd9ad54a,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.0,True,61947468c925,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.0,True,a19f70b30f96,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.01,True,b76c308cabaf,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.0,True,f06e94586a28,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.01,True,81738b7e6f22,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.0,True,100aea594df6,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.0,True,3f7d690ba12a,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.01,True,b8020aa9bcac,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
